Epoch 148 | Train Loss: 0.0260 | Val Loss: 0.0264 | Val Dice: 0.9485 | Val IoU: 0.9025 | Learning Rate: 0.000125
Epoch 149 | Train Loss: 0.0281 | Val Loss: 0.0268 | Val Dice: 0.9423 | Val IoU: 0.8914 | Learning Rate: 0.000125
Epoch 150 | Train Loss: 0.0270 | Val Loss: 0.0287 | Val Dice: 0.9522 | Val IoU: 0.9093 | Learning Rate: 0.000125
Epoch 151 | Train Loss: 0.0268 | Val Loss: 0.0290 | Val Dice: 0.9525 | Val IoU: 0.9098 | Learning Rate: 0.000125
Epoch 152 | Train Loss: 0.0266 | Val Loss: 0.0268 | Val Dice: 0.9489 | Val IoU: 0.9034 | Learning Rate: 0.000125
Epoch 153 | Train Loss: 0.0249 | Val Loss: 0.0259 | Val Dice: 0.9503 | Val IoU: 0.9059 | Learning Rate: 0.000125
Epoch 154 | Train Loss: 0.0248 | Val Loss: 0.0255 | Val Dice: 0.9523 | Val IoU: 0.9094 | Learning Rate: 0.000125
Epoch 155 | Train Loss: 0.0261 | Val Loss: 0.0260 | Val Dice: 0.9531 | Val IoU: 0.9109 | Learning Rate: 0.000125
Epoch 156 | Train Loss: 0.0257 | Val Loss: 0.0264 | Val Dice: 0.9513 | Val IoU: 0.9075 | Learning Rate: 0.000125
Epoch 157 | Train Loss: 0.0294 | Val Loss: 0.0274 | Val Dice: 0.9485 | Val IoU: 0.9024 | Learning Rate: 6.25e-05
Epoch 158 | Train Loss: 0.0260 | Val Loss: 0.0261 | Val Dice: 0.9500 | Val IoU: 0.9053 | Learning Rate: 6.25e-05
Epoch 159 | Train Loss: 0.0272 | Val Loss: 0.0255 | Val Dice: 0.9480 | Val IoU: 0.9015 | Learning Rate: 6.25e-05
Epoch 160 | Train Loss: 0.0261 | Val Loss: 0.0254 | Val Dice: 0.9531 | Val IoU: 0.9109 | Learning Rate: 6.25e-05
Epoch 161 | Train Loss: 0.0246 | Val Loss: 0.0258 | Val Dice: 0.9528 | Val IoU: 0.9105 | Learning Rate: 6.25e-05
Epoch 162 | Train Loss: 0.0256 | Val Loss: 0.0251 | Val Dice: 0.9519 | Val IoU: 0.9086 | Learning Rate: 6.25e-05
